key	ru	en
Player_100001_e9dbcaa6-c49a-40d5-9541-e72272dccca0	Привет, а что ты изучаешь?	Hi, what are you studying?
Player_100001_645f2189-2d2f-41ae-b95e-878a6d454e6c	Прости, я не хотел...	I'm sorry, I didn't mean to...
Player_100001_0da5e301-d44d-41a7-affc-3b2e0ddeff14	Может я смогу чем-то помочь?	Maybe I can help with something?
Player_100001_00e504cf-85a2-41a7-9b86-6a0add8a1b64	Ого!	Wow!
Player_100001_a13d8a73-de3a-44f5-a1b7-0b2dd16098e6	Хорошо, я помогу!	Okay, I'll help!
Player_100001_60fa94d0-e938-4570-ab30-1fc770d8ada9	Ой, точно, а меня {playerName}.	Oh, right, and I'm {playerName}.
Player_100001_3fe15682-20f6-4bd0-b26b-87925a0c077f_0	Что за коралловые статуи?	What are these coral statues?
Player_100001_3fe15682-20f6-4bd0-b26b-87925a0c077f_1	<link=hlight>А зачем их изучать?</link>	<link=hlight>Why study them?</link>
Player_100003_71c1ad68-f252-4488-bd07-8ed603a583e4	Он красивы-ы-ы-ый!	He is soooo beautiful!
Player_100003_35dc8826-d8db-49b0-80c3-b25094ac1839	Возможно туда можно поместить звёздную пыль.	Perhaps stardust could be placed there.
Player_100003_b0ef79ee-ee38-4dc2-98bd-c9a58ef08c89	Спасибо большое!	Thanks a lot!
Player_100003_d4677d19-ccf3-4341-8ef4-4445626db4fb	О-о-о, чувствую, как у меня восстанавливаются тепловые ядра.	Oh-oh-oh, I feel my thermal cores recovering.
Player_100003_d8fc2e70-ed76-4a03-b039-67a148ecea4b	Медленно, но верно.	Slowly but surely.
Player_100003_2603d2c3-b0e8-4a8a-9244-2258b7aad77c	До встречи, Тео!	See you later, Theo!
