key	ru	en
Finix_9_6696b055-0b1c-413a-96ef-fee5f9821b1f	Я хочу провести эксперименты и понять, что можно сделать.	I want to conduct experiments and understand what can be done.
Finix_9_8ff86f85-f238-4aaf-9770-8efd089db1a8	Если быть честной, то ты меня замотивировал...	To be honest, you motivated me...
Finix_9_712ffae4-8ac8-4938-bc2b-1c10c0125f04	Ну и к тому же я биолог!	Well, and besides, I'm a biologist!
Finix_9_94dbe8b9-a058-416a-bc71-c40b4c48b02a	Насколько я знаю, они появляются, когда ты не можешь справиться со страхом.	As far as I know, they appear when you can't cope with fear.
Finix_9_1602ffe2-6c59-4c07-a4a3-3cc1e90a547d	Оу... думаю мне пора.	Oh... I think I should go.
Finix_9_ade98980-4717-4952-ba59-2dd3a2635bad	Спасибо большое за помощь.	Thank you very much for your help.
Finix_9_cdb25a5f-ae2e-4af0-876e-0a7bf1882a39	Больше мне ничего не известно пока.	I don't know anything else for now.
Finix_400001_c34452d7-0488-4b59-9dbc-a98c576b28a8	{playerName}, приветик!	{playerName}, hello!
Finix_400001_854caaeb-8839-4a96-b2a5-7ca764ed7614	Пока что очень сложно понять, как она устроена.	It is still very difficult to understand how it works.
Finix_400001_76d51586-a92d-4566-8021-9cd07b922f23	Хорошего дня!	Have a good day!
Finix_400001_1f7733c0-b191-433e-900b-992027454ce6	Мне нужно время для проведения тестов.	I need time to conduct tests.
Finix_400001_453ccf11-8e8b-4ebe-a3b6-4c1a2c0b4e16	Пока просто продолжай растапливать очаги холода.	For now, just keep melting the cold spots.
Finix_400001_f769dcab-0a74-45a8-9b12-de71ea5902be	Прекрасно, теперь я у тебя в долгу.	Great, now I'm in your debt.
Finix_400001_1fd4c983-dd9f-425c-9da2-a32af79c1daa	У-у-у, вижу заполненную книжку!	Ooooh, I see a filled book!
Finix_400001_d749da1b-f892-4da6-b4df-702f143183bb	Держи морского кролика!	Here's a sea bunny!
Finix_400002_a643061f-5c4f-4079-bcf1-cd9a70ba9a88	{playerName}, привет, есть дельце.	{playerName}, hi, I have some business.
Finix_400002_ebab6d48-18e9-45fb-9135-8c860a920d65	Да, я вызвалась сделать перепись видов на дне.	Yes, I volunteered to do a census of species on the bottom.
Finix_400002_78370a77-78ad-4b22-b106-aced5d1ba5e6	Так как у меня появилась более приоритетная задача ввиде изучения призмы, то я хочу попросить тебя о помощи.	Since I have a more pressing task in the form of studying the prism, I would like to ask you for help.
Finix_400002_e1afda68-065c-4947-90ce-d1ce227c7bbf	Ты можешь записывать в эту книгу виды всех существ, которые встретятся тебе в приключении?	Can you write down in this book the types of all the creatures you encounter on your adventure?
Finix_400002_c0515a85-1e61-4553-826e-cc8fa8d8e687	Не переживай, я тебе отдам нового милашного помощника! 	Don't worry, I'll give you a new cute assistant!
Finix_400002_2fa45809-49f4-4171-b433-ae4c94435af1	Спасибо большое! Ты сэкономил мне кучу времени.	Thank you so much! You saved me a lot of time.
Finix_400002_7cd60e78-a58c-4d61-8e32-ce4e3cf254c5	Когда запишешь все виды, приходи ко мне!	When you have written down all the types, come to me!
Finix_7_7b4bc8b5-8452-496e-b4ae-d77703d8dd79	О нет...	Oh no...
Finix_7_44d84846-779f-470d-9fca-efde706f5fe3	Только не это...	Anything but that...
Finix_7_d74c5077-692b-4bb3-9658-f0918168fd08	Он сейчас в искажённом мире...	He is now in a distorted world...
Finix_7_945cd367-10dc-459e-aca7-f1fd503aab9f	Мире своего страха.	The world of your fear.
Finix_7_38be14d5-fa67-4836-9deb-12e49b9b3dac	Ни в коем случае не заходи в портал!	Do not enter the portal under any circumstances!
Finix_7_19e5dfe7-d787-4e49-83d6-874721836373	Я позову на помощь.	I'll call for help.
